record_id,source_page,topic,record_type,title_ar,normativity,verification_status,source_alignment_status,production_use
TU-GUIDE-0001,1,document_metadata,metadata,هوية الدليل,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0002,3,document_scope,scope,غرض الدليل,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0003,4,document_scope,scope,نطاق المحتوى,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0004,5,document_scope,index,موضوعات الفصل الأول,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0005,5,document_scope,index,موضوعات الفصل الثاني,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0006,7,academic_terms,definition,العام الدراسي,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0007,7,academic_terms,definition,النظام الدراسي,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0008,7,academic_terms,definition,الفصل الدراسي,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0009,7,academic_terms,definition,المستوى الدراسي,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0010,7,academic_terms,definition,السنة الدراسية,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
TU-GUIDE-0011,7,academic_terms,definition,الفصل الصيفي,DESCRIPTIVE,EXTRACTED,NOT_SECOND_PASS_CHECKED,KNOWLEDGE_RESPONSE_AFTER_SOURCE_VERIFICATION
